eval_id,query,dataset_source,category,ground_truth,relevant_chunk_ids,notes
Q011,Bagaimana cara melihat dokumen persyaratan dasar dan pernyataan mandiri dalam data usaha?,NEW,Procedure,"Cara melihat dokumen persyaratan dasar dan pernyataan mandiri dalam data usaha di OSS: 1) Login ke akun OSS Anda, 2) Masuk ke Dashboard NIB, 3) Pilih menu """"Data Usaha"""" atau """"Profil Usaha"""", 4) Klik pada bagian """"Dokumen Persyaratan Dasar"""", 5) Di sana akan tampil daftar dokumen yang telah diunggah termasuk pernyataan mandiri, 6) Klik pada dokumen yang ingin dilihat untuk membuka atau mengunduhnya. Pernyataan mandiri merupakan komitmen pelaku usaha untuk memenuhi standar dan persyaratan sesuai dengan Standar Layanan Informasi Publik yang berlaku.","7450, 7052, 7042",
Q012,Bagaimana cara mengurus izin untuk usaha penyewaan alat berat?,OLD,Procedure,"Cara mengurus izin usaha penyewaan alat berat: 1) Daftarkan usaha melalui OSS dengan memilih KBLI yang sesuai untuk penyewaan alat berat (biasanya KBLI 77392 - Persewaan Mesin dan Peralatan Konstruksi), 2) Lengkapi data usaha dan persyaratan dasar, 3) Sistem akan menentukan tingkat risiko usaha dan persyaratan yang harus dipenuhi, 4) Untuk usaha penyewaan alat berat, mungkin diperlukan sertifikat standar atau izin operasional khusus tergantung jenis alat, 5) Lengkapi komitmen perizinan berusaha jika diperlukan, 6) Setelah NIB terbit, penuhi persyaratan lanjutan dalam waktu yang ditentukan. Konsultasikan dengan DPMPTSP setempat untuk persyaratan spesifik di daerah Anda.","7304, 7452, 7082",
Q013,Bagaimana cara membuka kantor cabang di OSS?,OLD,Procedure,"Cara membuka kantor cabang di OSS: 1) Login ke akun OSS dengan NIB perusahaan pusat, 2) Pilih menu """"Perubahan Data Usaha"""" atau """"Tambah Lokasi Usaha"""", 3) Pilih opsi """"Tambah Kantor Cabang"""", 4) Isi data lengkap kantor cabang meliputi: alamat lengkap, provinsi, kabupaten/kota, kecamatan, kelurahan, kode pos, 5) Unggah dokumen pendukung seperti bukti kepemilikan/sewa tempat usaha, 6) Tentukan kegiatan usaha yang akan dilakukan di kantor cabang, 7) Submit permohonan. Setelah diverifikasi, kantor cabang akan tercatat dalam NIB dan dapat beroperasi sesuai dengan kegiatan usaha yang didaftarkan.","7304, 7082, 7298",
Q014,Apa keuntungan memiliki IUMK?,OLD,General,"Keuntungan memiliki IUMK (Izin Usaha Mikro Kecil): 1) Legalitas usaha yang sah dan diakui pemerintah, 2) Prosedur pengurusan yang mudah dan cepat tanpa biaya, 3) Dapat digunakan untuk mengakses pembiayaan dan kredit dari bank atau lembaga keuangan, 4) Memudahkan dalam mengikuti tender atau menjadi supplier untuk instansi pemerintah, 5) Mendapat perlindungan hukum dalam menjalankan usaha, 6) Dapat mengakses program pembinaan dan bantuan pemerintah untuk UMKM, 7) Meningkatkan kepercayaan konsumen dan mitra bisnis, 8) Memudahkan ekspansi usaha di kemudian hari. IUMK khusus untuk usaha mikro dan kecil sesuai kriteria UU UMKM.","7082, 7241, 7294",
Q015,Siapa penanggung jawab layanan DPMPTSP di daerah?,OLD,General,"Penanggung jawab layanan DPMPTSP di daerah adalah Kepala Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu. Untuk Provinsi Jawa Tengah, penanggung jawab layanan DPMPTSP adalah Ir. Sakina Rosellasari, M.Si, M.Sc dengan jabatan Kepala DPMPTSP Provinsi Jawa Tengah (Pembina Utama Muda, NIP. 196608211993032006). Beliau memiliki latar belakang pendidikan Magister Ekonomi Pembangunan UGM (2001) dan Sarjana Perikanan UNDIP (1991), serta pengalaman sebagai Kasi Sarana Perikanan Tangkap di DKP Provinsi Jawa Tengah. Struktur organisasi DPMPTSP mencakup berbagai bidang yang menangani perizinan dan pelayanan investasi.","7452, 6989, 7082",
Q016,Bagaimana prosedur perubahan skala usaha di sistem OSS?,NEW,Procedure,"Prosedur perubahan skala usaha di sistem OSS: 1) Login ke akun OSS Anda, 2) Masuk ke menu """"Perubahan Data Usaha"""", 3) Pilih """"Perubahan Skala Usaha"""", 4) Update data terkait perubahan skala seperti: nilai investasi baru, jumlah tenaga kerja, omzet usaha, 5) Sistem akan otomatis mengevaluasi dan menentukan skala usaha baru (mikro, kecil, menengah, atau besar) berdasarkan kriteria UU UMKM, 6) Jika ada perubahan persyaratan perizinan akibat perubahan skala, sistem akan memberitahu persyaratan tambahan yang harus dipenuhi, 7) Submit perubahan dan tunggu verifikasi. Perubahan skala usaha penting untuk memastikan kesesuaian dengan regulasi dan persyaratan perizinan yang berlaku.","7304, 7452, 7298",
Q017,Ada update regulasi OSS terbaru?,OLD,Technical,"Update regulasi OSS terbaru dapat dipantau melalui beberapa sumber: 1) Website resmi OSS (oss.go.id) yang secara berkala mengumumkan perubahan regulasi, 2) Website DPMPTSP Provinsi/Kabupaten/Kota setempat, 3) Sosialisasi dan publikasi dari Kementerian Investasi/BKPM. Regulasi OSS terus diperbarui untuk penyempurnaan sistem perizinan berusaha, termasuk penyesuaian dengan peraturan terbaru, penambahan fitur, perubahan persyaratan perizinan, dan integrasi dengan sistem lainnya. Pelaku usaha disarankan untuk selalu memantau pengumuman resmi dan mengikuti sosialisasi yang diadakan oleh DPMPTSP untuk mendapatkan informasi terkini tentang perubahan regulasi OSS.","6999, 7166, 7418, 7422",
Q018,Bisakah satu NIK memiliki lebih dari satu akun OSS?,NEW,Technical,"Tidak, satu NIK (Nomor Induk Kependudukan) hanya dapat memiliki satu akun OSS. Sistem OSS dirancang dengan prinsip satu NIK untuk satu akun untuk memastikan validitas data dan mencegah duplikasi. Namun, dalam satu akun OSS, seorang pelaku usaha dapat mendaftarkan lebih dari satu badan usaha atau memiliki lebih dari satu NIB jika memiliki beberapa usaha yang berbeda. Jika Anda ingin menjalankan beberapa usaha, Anda dapat mendaftarkan semua usaha tersebut dalam satu akun OSS yang sama dengan NIK Anda, dan setiap usaha akan mendapatkan NIB yang berbeda.","7008, 7082, 7304",
Q019,Apa akibat jika KBLI tidak sesuai?,OLD,General,"Akibat jika KBLI tidak sesuai dengan kegiatan usaha yang dijalankan: 1) Perizinan berusaha dapat dianggap tidak sah atau tidak sesuai dengan kegiatan operasional, 2) Dapat dikenakan sanksi administratif berupa peringatan, pembekuan, hingga pencabutan izin, 3) Kesulitan dalam mengakses pembiayaan atau kredit perbankan karena ketidaksesuaian data, 4) Tidak dapat mengikuti tender atau menjadi supplier untuk proyek tertentu, 5) Berpotensi terkena masalah hukum jika terjadi sengketa atau pelanggaran, 6) Tidak mendapat perlindungan hukum yang optimal untuk kegiatan usaha yang dijalankan. Oleh karena itu, sangat penting untuk memilih KBLI yang tepat dan sesuai dengan kegiatan usaha yang sebenarnya dilakukan.","7165, 7082, 7068",
Q020,Sanksi bagi usaha tanpa NIB.,OLD,NIB,"Sanksi bagi usaha yang beroperasi tanpa NIB (Nomor Induk Berusaha): 1) Sanksi administratif berupa teguran tertulis dari pemerintah daerah atau instansi berwenang, 2) Penghentian sementara kegiatan usaha, 3) Penutupan lokasi usaha, 4) Denda administratif sesuai dengan peraturan daerah yang berlaku, 5) Tidak dapat mengakses layanan pemerintah seperti pembiayaan, insentif, atau program pembinaan, 6) Kesulitan dalam berbisnis dengan perusahaan lain yang mensyaratkan legalitas usaha, 7) Tidak mendapat perlindungan hukum dalam menjalankan usaha. NIB merupakan identitas pelaku usaha yang wajib dimiliki untuk menjalankan kegiatan usaha secara legal sesuai dengan peraturan perizinan berusaha yang berlaku.","7304, 7452, 7165",
Q021,Apa proses perizinan berusaha selanjutnya setelah mendapat NIB?,NEW,Procedure,"Proses perizinan berusaha setelah mendapat NIB: 1) Cek persyaratan komitmen perizinan berusaha yang harus dipenuhi sesuai dengan KBLI dan tingkat risiko usaha Anda, 2) Untuk usaha berisiko menengah-tinggi, lengkapi dokumen persyaratan seperti sertifikat standar, izin lokasi, izin lingkungan, atau izin operasional lainnya, 3) Unggah dokumen pemenuhan komitmen melalui dashboard OSS, 4) Tunggu verifikasi dari instansi teknis terkait, 5) Setelah semua komitmen terpenuhi, Anda akan mendapatkan sertifikat standar atau izin operasional yang diperlukan, 6) Mulai operasional usaha sesuai dengan perizinan yang telah diperoleh, 7) Lakukan pelaporan berkala seperti LKPM jika termasuk penanaman modal. NIB adalah langkah awal, pemenuhan komitmen adalah langkah lanjutan yang wajib diselesaikan.","7082, 7420, 7304",
Q022,Kenapa Kolom Perubahan Nilai Total Akumulasi LKPM Berwarna Abu-abu?,NEW,Technical,"Kolom Perubahan Nilai Total Akumulasi LKPM berwarna abu-abu karena kolom tersebut bersifat read-only atau tidak dapat diedit secara manual oleh pengguna. Kolom ini merupakan hasil perhitungan otomatis oleh sistem berdasarkan data realisasi investasi yang telah diinput pada periode-periode pelaporan sebelumnya. Sistem akan secara otomatis mengakumulasikan nilai investasi dari awal hingga periode pelaporan saat ini. Pengguna hanya perlu mengisi kolom realisasi investasi pada periode berjalan, dan sistem akan menghitung total akumulasinya. Hal ini untuk memastikan konsistensi data dan mencegah kesalahan input yang dapat mempengaruhi data historis investasi.","7452, 7165, 7266",
Q023,"""""Bagaimana cara mengunduh cetakan PKKPR, persetujuan RKL-RPL, dan izin dari dashboard NIB?""""",NEW,NIB,"Cara mengunduh cetakan PKKPR, persetujuan RKL-RPL, dan izin dari dashboard NIB: 1) Login ke akun OSS Anda, 2) Masuk ke Dashboard NIB, 3) Pada halaman dashboard, cari menu """"Dokumen Perizinan"""" atau """"Unduh Dokumen"""", 4) Akan tampil daftar dokumen yang tersedia seperti: NIB, PKKPR (Persetujuan Kesesuaian Kegiatan Pemanfaatan Ruang), Persetujuan Lingkungan (RKL-RPL atau dokumen lingkungan lainnya), dan izin operasional lainnya, 5) Klik tombol """"Unduh"""" atau ikon download pada dokumen yang ingin diunduh, 6) Dokumen akan terunduh dalam format PDF, 7) Simpan dokumen tersebut sebagai arsip. Pastikan dokumen yang diunduh adalah versi terbaru dan sudah mendapat persetujuan dari instansi terkait.","6937, 7042, 7082",
Q024,Apa yang terjadi jika tidak melakukan pemenuhan persyaratan dalam 90 hari?,NEW,Technical,"Jika tidak melakukan pemenuhan persyaratan dalam 90 hari setelah NIB terbit, maka: 1) NIB dapat dibekukan sementara oleh sistem hingga persyaratan dipenuhi, 2) Pelaku usaha tidak dapat melakukan operasional usaha secara legal, 3) Tidak dapat mengakses layanan perizinan lanjutan atau perubahan data usaha, 4) Dapat dikenakan sanksi administratif berupa teguran tertulis, 5) Jika terus diabaikan, NIB dapat dicabut secara permanen, 6) Harus mengajukan permohonan NIB baru jika NIB telah dicabut. Batas waktu 90 hari diberikan untuk memberikan kesempatan kepada pelaku usaha melengkapi dokumen persyaratan komitmen perizinan berusaha. Sangat penting untuk segera melengkapi persyaratan dalam jangka waktu yang ditentukan untuk menghindari sanksi.","6975, 7236, 7304",
Q025,Bagaimana prosedur: pelaporan badan usaha jasa konstruksi asing (bujka)?,NEW,Procedure,"Prosedur pelaporan Badan Usaha Jasa Konstruksi Asing (BUJKA): 1) BUJKA harus memiliki NIB terlebih dahulu melalui sistem OSS, 2) Daftarkan kegiatan usaha dengan KBLI jasa konstruksi yang sesuai, 3) Lengkapi persyaratan khusus untuk BUJKA termasuk: izin perwakilan perusahaan asing, dokumen kualifikasi dari negara asal, dan perjanjian kerja sama dengan perusahaan konstruksi lokal jika diperlukan, 4) Lakukan pelaporan berkala melalui sistem OSS tentang: proyek yang sedang dikerjakan, nilai kontrak, tenaga kerja asing dan lokal yang dipekerjakan, 5) Submit laporan sesuai dengan periode yang ditentukan (biasanya triwulanan atau tahunan), 6) Pastikan mematuhi ketentuan penggunaan tenaga kerja lokal dan transfer teknologi sesuai regulasi konstruksi yang berlaku.","7082, 7304, 7452",
Q026,"""""Saya salah memasukkan data NPWP saat daftar, bagaimana cara memperbaikinya?""""",OLD,Procedure,"Cara memperbaiki data NPWP yang salah di OSS: 1) Login ke akun OSS Anda, 2) Masuk ke menu """"Perubahan Data Usaha"""", 3) Klik tombol """"Edit"""" pada bagian data NPWP, 4) Masukkan nomor NPWP yang benar, 5) Unggah dokumen NPWP sebagai bukti, 6) Submit perubahan, 7) Tunggu verifikasi. Jika sistem tidak mengizinkan, hubungi helpdesk OSS atau DPMPTSP dengan membawa dokumen NPWP asli.","6998, 7097, 7304",
Q027,Apakah DPMPTSP menyediakan layanan terjemahan dokumen untuk investor asing?,OLD,General,"Layanan terjemahan dokumen untuk investor asing di DPMPTSP bervariasi per daerah. Beberapa DPMPTSP menyediakan layanan pendampingan dan informasi dalam bahasa Inggris. Untuk terjemahan dokumen resmi tersumpah, investor perlu menggunakan jasa penerjemah tersumpah. DPMPTSP dapat memberikan rekomendasi penerjemah atau memfasilitasi komunikasi. Hubungi DPMPTSP setempat untuk informasi layanan spesifik.","7059, 7069, 7082",
Q028,Saya ingin tahu update regulasi terbaru tentang OSS.,OLD,Technical,"Update regulasi OSS dapat diakses melalui: 1) Website oss.go.id, 2) Website Kementerian Investasi/BKPM, 3) Website DPMPTSP daerah, 4) Sosialisasi DPMPTSP, 5) Notifikasi dashboard OSS. Regulasi terus diperbarui untuk meningkatkan kemudahan berusaha. Pelaku usaha disarankan memantau update agar tetap compliant.","7418, 7422, 6999, 7166",
Q029,Bagaimana cara mengaktifkan kembali izin usaha yang dibekukan?,OLD,Procedure,"Cara mengaktifkan izin yang dibekukan: 1) Identifikasi penyebab pembekuan, 2) Login OSS dan cek status NIB, 3) Lengkapi persyaratan yang belum terpenuhi, 4) Unggah dokumen pemenuhan, 5) Ajukan permohonan pengaktifan kembali, 6) Tunggu verifikasi, 7) Status NIB akan aktif kembali setelah disetujui. Jika pembekuan serius, klarifikasi langsung ke DPMPTSP.","7304, 7298, 7082",
Q030,Apa keuntungan mengurus izin di MPP?,OLD,Licensing,"Keuntungan mengurus izin di MPP: 1) Layanan terpadu satu pintu, 2) Efisiensi waktu, 3) Proses lebih cepat, 4) Fasilitas nyaman, 5) Petugas profesional, 6) Transparansi biaya dan waktu, 7) Konsultasi gratis, 8) Jam operasional panjang, 9) Sistem antrian terorganisir, 10) Dapat mengurus berbagai keperluan sekaligus.","7082, 7068, 7452",
Q031,Adakah Dasar Hukum yang Melarang Perusahaan dengan KBLI Industri Memiliki KBLI Perdagangan Besar?,NEW,Technical,"Tidak ada dasar hukum yang melarang perusahaan KBLI Industri memiliki KBLI Perdagangan Besar. Perusahaan dapat memiliki lebih dari satu KBLI selama kegiatan saling terkait dan sesuai operasional. Jika KBLI meliputi lebih dari satu bidang, persyaratan berlaku untuk semua bidang. Perusahaan industri yang juga berdagang produknya dapat mendaftarkan kedua KBLI, asalkan sesuai kegiatan yang benar-benar dijalankan.","7068, 6965, 7165, 7304",
Q032,Bagaimana OSS mendukung UMKM digital?,OLD,Procedure," OSS mendukung UMKM digital melalui: 1) Prosedur perizinan online, 2) IUMK gratis dan cepat, 3) Integrasi dengan marketplace, 4) Tanpa biaya pengurusan, 5) Proses cepat dan efisien, 6) Dukungan model bisnis digital, 7) Kemudahan perubahan data, 8) Akses informasi lengkap online. OSS memfasilitasi transformasi digital UMKM dengan kemudahan legalitas usaha.","7450, 7058, 7294",
Q033,Bagaimana cara mendaftar untuk ikut sosialisasi dari DPMPTSP?,OLD,Procedure,"Cara mendaftar sosialisasi DPMPTSP: 1) Pantau website resmi DPMPTSP, 2) Follow media sosial DPMPTSP, 3) Daftar melalui link online, 4) Hubungi DPMPTSP langsung, 5) Datang ke kantor DPMPTSP, 6) Isi formulir pendaftaran, 7) Konfirmasi kehadiran. Sosialisasi gratis dan mencakup topik perizinan OSS, regulasi, LKPM, dan investasi.","7304, 7446, 7082",
Q034,Prosedur izin usaha kesehatan.,OLD,Procedure,"Prosedur izin usaha kesehatan: 1) Daftar di OSS dengan KBLI kesehatan, 2) Lengkapi data usaha, 3) Penuhi persyaratan khusus: izin Dinkes, sertifikat tenaga kesehatan, standar sarana, 4) Unggah dokumen termasuk rekomendasi organisasi profesi, 5) Submit dan tunggu verifikasi Dinkes, 6) Izin operasional akan terbit, 7) Lakukan perpanjangan sesuai masa berlaku. Konsultasi dengan DPMPTSP dan Dinkes untuk detail.","7446, 7452, 7304",
Q035,Apa itu Laporan Kegiatan Penanaman Modal (LKPM)?,OLD,General,"LKPM adalah laporan berkala wajib pelaku usaha penanaman modal tentang perkembangan investasi. Mencakup: 1) Realisasi investasi, 2) Tenaga kerja, 3) Nilai produksi/omzet, 4) Produk dalam negeri, 5) Ekspor-impor, 6) Perkembangan proyek. Disampaikan online via OSS setiap triwulan. Penting untuk monitoring, evaluasi, dan dasar pemberian insentif investasi.","7266, 7283, 7061",
Q036,Bisa minta review dokumen di DPMPTSP?,OLD,General,"Ya, DPMPTSP menyediakan layanan review dokumen. Cara: 1) Datang ke DPMPTSP/MPP dengan dokumen, 2) Hubungi via telepon/email, 3) Manfaatkan """"Klinik Perizinan"""", 4) Jelaskan jenis usaha, 5) Petugas akan review dan beri saran, 6) Layanan gratis. Review membantu memastikan dokumen lengkap sebelum submit ke OSS, mempercepat persetujuan.","7042, 7090, 7082",
Q037,Bagaimana prosedur merger untuk lebih dari satu perusahaan di sistem OSS?,NEW,Procedure,"Prosedur merger di OSS: 1) Siapkan akta penggabungan dari notaris dan Kemenkumham, 2) Login OSS perusahaan hasil merger, 3) Pilih """"Penggabungan Badan Usaha"""", 4) Input data perusahaan yang dimerger, 5) Unggah dokumen merger, 6) Tentukan surviving entity, 7) Submit, 8) Tunggu verifikasi, 9) NIB hasil merger diperbarui, NIB perusahaan lain dicabut.","7446, 7452, 7304",
Q038,Bagaimana prosedur: panduan penambahan kbli?,NEW,Procedure,"Prosedur penambahan KBLI: 1) Login OSS, 2) Menu """"Perubahan Data Usaha"""", 3) Pilih """"Tambah KBLI"""", 4) Cari dan pilih KBLI baru, 5) Sistem tampilkan persyaratan, 6) Lengkapi dokumen tambahan, 7) Unggah dokumen, 8) Submit, 9) Tunggu verifikasi, 10) KBLI baru tercantum di NIB. Pastikan KBLI sesuai kegiatan yang benar-benar dijalankan.","7452, 7304, 7165",
Q039,Bagaimana DPMPTSP memastikan tidak ada kebocoran data pelaku usaha?,OLD,Procedure,"DPMPTSP memastikan keamanan data melalui: 1) Enkripsi data kuat, 2) Akses terbatas dengan autentikasi, 3) Audit trail aktivitas, 4) Backup berkala di server aman, 5) Kepatuhan UU Perlindungan Data, 6) Pelatihan petugas, 7) Firewall dan proteksi cyber, 8) NDA untuk petugas, 9) Monitoring berkala. Data dijaga kerahasiaannya untuk keperluan administrasi perizinan.","7450, 7052, 7058",
Q040,Bagaimana cara mengurus Izin Pengelolaan Limbah B3?,OLD,Procedure,"Cara urus Izin Limbah B3: 1) Daftar OSS dengan KBLI pengelolaan limbah, 2) Lengkapi AMDAL/UKL-UPL, 3) Ajukan ke KLHK atau Dinas LH, 4) Siapkan dokumen teknis: jenis limbah, teknologi, kapasitas, pengendalian, 5) Sertifikat kompetensi penanggung jawab, 6) Bukti lahan/bangunan, 7) Submit dokumen, 8) Inspeksi lapangan, 9) Izin terbit dengan masa berlaku tertentu.","7304, 6937, 7082",
Q041,Syarat izin pendirian yayasan?,OLD,Licensing,"Syarat pendirian yayasan: 1) Akta pendirian notaris, 2) Pengesahan Kemenkumham, 3) NPWP yayasan, 4) Surat domisili, 5) Program kerja dan AD/ART, 6) Susunan pengurus dengan KTP, 7) Surat pernyataan tidak sengketa, 8) Bukti tempat kedudukan, 9) Izin operasional instansi teknis untuk bidang tertentu. Yayasan sebagai badan hukum nirlaba memiliki prosedur khusus. Konsultasi dengan notaris dan instansi terkait.","6999, 7411, 7304",
Q042,Apakah DPMPTSP menyediakan layanan konsultasi tatap muka?,OLD,Support,"Ya, DPMPTSP menyediakan konsultasi tatap muka meliputi: 1) Konsultasi perizinan dan OSS, 2) Bantuan NIB dan komitmen, 3) Konsultasi investasi dan insentif, 4) Penjelasan regulasi. Cara akses: 1) Datang ke DPMPTSP/MPP, 2) Manfaatkan """"Klinik Perizinan"""", 3) Buat janji temu, 4) Bawa dokumen terkait. Layanan gratis untuk mendukung kemudahan berusaha.","7242, 7082, 7452",
Q043,Bisakah SBU yang Sudah Terbit Digunakan untuk Pemenuhan Persyaratan di KBLI yang Berbeda?,NEW,Technical,"SBU spesifik untuk bidang usaha tertentu. Dapat digunakan untuk KBLI berbeda selama masih dalam lingkup bidang usaha SBU. Jika KBLI baru berbeda signifikan, mungkin perlu SBU tambahan. Verifikasi dengan LPJK atau OSS untuk memastikan kesesuaian SBU dengan KBLI yang didaftarkan.","7169, 7053, 7165",
