"ID","Query","Ground_Truth"
"Q59","Bagaimana prosedur: sukses menyimpan data permohonan pse?",""
"Q60","Apakah permohonan izin edar BPOM terintegrasi dengan OSS?",""
"Q61","Bagaimana cara cabut NIB karena sudah tidak menjalankan kegiatan usaha? Bagaimana cara hapus NIB saya karena perusahaan sudah bubar?",""
"Q62","Apa yang harus dilakukan jika notifikasi OSS tidak masuk ke email?",""
"Q63","Apakah data realisasi investasi yang dilaporkan di LKPM bersifat publik?",""
"Q64","Bagaimana cara membuat janji temu untuk konsultasi di kantor DPMPTSP?",""
"Q65","Syarat mendirikan CV (Commanditaire Vennootschap).",""
"Q66","Bagaimana cara lalu klik ubah permohonan untuk memperbaiki atau melakukan perbaikan?",""
"Q67","Apakah pengajuan izin bisa dibatalkan setelah diproses?",""
"Q68","Bagaimana cara melakukan perluasan pada OSS?",""
"Q69","Kenapa Saat Cek RDTR Muncul Keterangan 'RDTR yang Anda Pilih Tidak Ada'?",""
"Q70","Apakah DPMPTSP sering mengadakan sosialisasi atau webinar untuk pelaku usaha?",""
"Q71","Bagaimana cara melihat sanksi LKPM yang saya terima?",""
"Q72","Apa saja batasan kewenangan yang bisa diberikan kepada kuasa hukum di OSS?",""
"Q73","Bagaimana prosedur: saya tidak bisa cabut kppa karena muncul notifikasi masa berlaku loa belum terisi?",""
"Q74","Bagaimana prosedur: kegiatan usaha untuk lokasi usaha di lauttelah di disetujuioleh kementerian kelautan dan perikanan (kkp).?",""
"Q75","Bagaimana cara memperoleh Rekomendasi Alih Status ITAS ke ITAP?",""
"Q76","Kapan umur API mulai dihitung?",""
"Q77","Apa yang dapat dilakukan: selanjutnya anda dapat melihat, mengunduh, dan mencetakproduk laporan kantor perwakilan jasa penunjang tenaga listrik asing (kpjptla)?",""
"Q78","Saya pernah gagal daftar OSS, harus mulai dari awal?",""
"Q79","Bagaimana alur pengaduan jika verifikator dari dinas teknis tidak merespon?",""
"Q80","Bagaimana hubungan kerja antara DPMPTSP dengan Kementerian Investasi/BKPM?",""
"Q81","Jangka Waktu Produksi Diisi Berdasarkan Apa?",""
"Q82","Bagaimana prosedur: tidak bisa mengirimkan lkpm?",""
"Q83","Bagaimana cara klik cetak notifikasiuntuk mencetak salinan notifikasi?",""
"Q84","Apa itu Sertifikat Standar dalam OSS RBA?",""
"Q85","Bagaimana prosedur: pelaku usaha dapat memeriksa kembali perubahan data kpjtla dengan mengulangi langkah4(perubahan data perwakilan).?",""
"Q86","Bisakah satu NIB memiliki beberapa lokasi proyek yang berbeda?",""
"Q87","Izin saya tertahan, apa yang harus dilakukan?",""
"Q88","Lokasi kantor DPMPTSP di provinsi saya.",""
"Q89","Kapan saya harus mengurus izin komersial/operasional?",""
"Q90","Bagaimana cara melakukan pendaftaran akun OSS?",""
"Q91","Apa saja layanan utama di DPMPTSP?",""
"Q92","Bisa langsung konsultasi di kantor DPMPTSP?",""
"Q93","Bagaimana cara melakukan penyesuaian izin lama ke sistem OSS RBA?",""
"Q94","Bagaimana Cara Ubah Alamat Kegiatan Usaha?",""
"Q95","Bagaimana prosedur: verifikasi data yang telah diubah?",""
"Q96","Bagaimana cara mendapatkan informasi jika ada gangguan pada sistem OSS?",""
"Q97","Di mana saya bisa mengecek peta RTRW secara online?",""
"Q98","Apakah dokumen yang diunduh dari OSS sah secara hukum tanpa tanda tangan basah?",""
"Q99","Apa yang dapat dilakukan: selanjutnya anda dapat melihat, mengunduh, dan mencetakproduk perizinan berusaha tersebut.?",""
"Q100","Siapa saja yang wajib lapor LKPM?",""
